elect_dist,republican,democratic,green,libertarian,year
35006,112,472,12,6,2016
35007,124,559,10,9,2016
35008,142,451,9,8,2016
35009,147,527,14,5,2016
35010,116,488,5,10,2016
35011,112,443,6,7,2016
35012,81,453,4,3,2016
35013,44,473,16,3,2016
35014,79,429,4,3,2016
35015,47,597,7,1,2016
35016,49,598,8,3,2016
35017,50,558,12,6,2016
35018,49,646,7,4,2016
35019,41,565,4,7,2016
35020,51,717,11,2,2016
35021,116,606,4,10,2016
35022,59,337,9,6,2016
35023,225,556,12,10,2016
35024,162,376,6,7,2016
35025,39,730,5,2,2016
35026,155,285,5,2,2016
35027,246,369,6,8,2016
35028,36,237,7,1,2016
35029,1,8,0,0,2016
35030,85,90,3,1,2016
35031,0,0,0,0,2016
35032,43,378,0,1,2016
35033,115,410,13,9,2016
35034,0,0,0,0,2016
35035,53,264,7,2,2016
35036,8,37,1,2,2016
35037,88,493,2,7,2016
35038,39,539,8,2,2016
35039,51,453,6,2,2016
35040,71,515,2,5,2016
35041,52,596,6,6,2016
35042,40,461,3,4,2016
35043,44,603,9,8,2016
35044,29,483,8,2,2016
35045,58,538,11,6,2016
35046,43,484,10,4,2016
35047,52,623,8,5,2016
35048,53,685,5,6,2016
35049,50,241,7,4,2016
35050,121,556,8,2,2016
35051,59,661,11,1,2016
35052,59,645,7,3,2016
35053,50,694,6,5,2016
35054,0,0,0,0,2016
35055,0,0,0,0,2016
35056,0,0,0,0,2016
35057,0,0,0,0,2016
35058,0,0,0,0,2016
35059,0,0,0,0,2016
35060,0,0,0,0,2016
35061,0,0,0,0,2016
35062,0,0,0,0,2016
36001,173,610,17,8,2016
36002,175,640,14,11,2016
36003,100,634,15,8,2016
36004,117,490,11,12,2016
36005,119,655,25,11,2016
36006,87,616,15,8,2016
36007,103,662,10,12,2016
36008,113,670,16,16,2016
36009,131,683,10,7,2016
36010,127,746,13,15,2016
36011,103,634,17,10,2016
